Symbol	CoreSymbolName	AskMarkupInPercent	AskMarkupInPoints	BidMarkupInPercent	BidMarkupInPoints	PriceMultiplier	VolumeFactor	VolumeStep	TickSize	DefaultVolume
EUR/USD	EUR/USD	0	0	0	0				0	1000000000
USD/JPY	USD/JPY	0	0	0	0				0	1000000000
GBP/USD	GBP/USD	0	0	0	0				0	1000000000
USD/CHF	USD/CHF	0	0	0	0				0	1000000000
AUD/USD	AUD/USD	0	0	0	0				0	1000000000
USD/CAD	USD/CAD	0	0	0	0				0	1000000000
NZD/USD	NZD/USD	0	0	0	0				0	1000000000
EUR/GBP	EUR/GBP	0	0	0	0				0	1000000000
EUR/JPY	EUR/JPY	0	0	0	0				0	1000000000
EUR/CHF	EUR/CHF	0	0	0	0				0	1000000000
AUD/CAD	AUD/CAD	0	0	0	0				0	1000000000
